state,district,market,crop_name,Arrival_Date,min_price,max_price,suggested_price
Andhra Pradesh,Chittor,Kalikiri,Tomato,23-08-2025,3500,4150,3900
Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,23-08-2025,1800,3600,2800
Andhra Pradesh,Chittor,Palamaner,Cabbage,23-08-2025,600,1100,900
Andhra Pradesh,Chittor,Palamaner,Potato,23-08-2025,1000,2000,1500
Andhra Pradesh,Chittor,Punganur,Tomato,23-08-2025,3000,4000,3500
Andhra Pradesh,East Godavari,Ambajipeta,Banana,23-08-2025,960,2000,1345
Andhra Pradesh,East Godavari,Ravulapelem,Banana,23-08-2025,2200,2900,2700
Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,23-08-2025,12000,15000,14500
Andhra Pradesh,West Godavari,Chintalapudi,Lemon,23-08-2025,1500,2100,1800
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit),Cucumbar(Kheera),23-08-2025,800,1600,1200
Gujarat,Ahmedabad,Ahmedabad,Bitter gourd,23-08-2025,600,2000,1450
Gujarat,Ahmedabad,Ahmedabad,Bottle gourd,23-08-2025,800,2500,1850
Gujarat,Ahmedabad,Ahmedabad,Carrot,23-08-2025,1000,3000,2200
Gujarat,Ahmedabad,Ahmedabad,Ginger(Green),23-08-2025,3500,7000,6400
Gujarat,Ahmedabad,Ahmedabad,Pumpkin,23-08-2025,400,600,500
Gujarat,Ahmedabad,Sanad,Paddy(Dhan)(Common),23-08-2025,2117,2493,2305
Gujarat,Amreli,Rajula,Bajra(Pearl Millet/Cumbu),23-08-2025,2000,2660,2330
Gujarat,Amreli,Rajula,Green Gram (Moong)(Whole),23-08-2025,7100,7100,7100
Gujarat,Amreli,Rajula,Wheat,23-08-2025,2950,2950,2950
Gujarat,Anand,Umreth,Bajra(Pearl Millet/Cumbu),23-08-2025,2400,2525,2515
Gujarat,Banaskanth,Amirgadh,Bajra(Pearl Millet/Cumbu),23-08-2025,1890,2520,2200
Gujarat,Banaskanth,Deesa,Rajgir,23-08-2025,5255,5820,5675
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Bhindi(Ladies Finger),23-08-2025,600,800,700
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Chikoos(Sapota),23-08-2025,3000,4000,3500
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Orange,23-08-2025,5000,5500,5250
Gujarat,Banaskanth,Deesa(Deesa Veg Yard),Pineapple,23-08-2025,4500,5000,4750
Gujarat,Banaskanth,Lakhani,Bajra(Pearl Millet/Cumbu),23-08-2025,1805,2520,2162
Gujarat,Banaskanth,Lakhani,Mustard,23-08-2025,6355,6600,6477
Gujarat,Banaskanth,Tharad,Cummin Seed(Jeera),23-08-2025,15500,19500,18000
Gujarat,Banaskanth,Tharad(Rah),Bajra(Pearl Millet/Cumbu),23-08-2025,2150,2550,2400
Gujarat,Banaskanth,Vav,Castor Seed,23-08-2025,6500,6590,6550
Gujarat,Banaskanth,Vav,Cummin Seed(Jeera),23-08-2025,15500,19150,18500
Gujarat,Botad,Botad,Arhar (Tur/Red Gram)(Whole),23-08-2025,3725,5000,4400
Gujarat,Botad,Botad,Bengal Gram(Gram)(Whole),23-08-2025,4625,5745,5200
Gujarat,Botad,Botad,Jowar(Sorghum),23-08-2025,3850,3850,3850
Gujarat,Chhota Udaipur,Kalediya,Cotton,23-08-2025,6750,7025,6850
Gujarat,Chhota Udaipur,Modasar        ,Cotton,23-08-2025,6800,7025,6900
Gujarat,Dahod,Dahod,Green Gram (Moong)(Whole),23-08-2025,7000,7700,7400
Gujarat,Dahod,Dahod,Wheat,23-08-2025,2760,2770,2765
Gujarat,Dahod,Dahod(Veg. Market),Brinjal,23-08-2025,200,4000,2100
Gujarat,Dahod,Dahod(Veg. Market),Cucumbar(Kheera),23-08-2025,600,2000,1300
Gujarat,Dahod,Dahod(Veg. Market),Pointed gourd (Parval),23-08-2025,2500,3500,3000
Gujarat,Dahod,Dahod(Veg. Market),Tomato,23-08-2025,2000,3500,2750
Gujarat,Gandhinagar,Kalol,Bajra(Pearl Millet/Cumbu),23-08-2025,2200,2350,2250
Gujarat,Gandhinagar,Mansa,Bajra(Pearl Millet/Cumbu),23-08-2025,2455,2540,2515
Gujarat,Gandhinagar,Mansa,Wheat,23-08-2025,2635,2700,2675
Gujarat,Gandhinagar,Mansa(Manas Veg Yard),Ridgeguard(Tori),23-08-2025,3000,3000,3000
Gujarat,Gir Somnath,Talalagir,Tomato,23-08-2025,3000,5000,4000
Gujarat,Kheda,Kapadvanj,Brinjal,23-08-2025,1000,1500,1250
Gujarat,Kheda,Kapadvanj,Tomato,23-08-2025,3000,4000,3200
Gujarat,Kheda,Kapadvanj,Wheat,23-08-2025,2500,2625,2560
Gujarat,Kheda,Nadiyad(Piplag),Coriander(Leaves),23-08-2025,900,1300,1200
Gujarat,Kheda,Nadiyad(Piplag),Tomato,23-08-2025,2000,2400,2100
Gujarat,Kheda,Nadiyad(Piplag),Tomato,23-08-2025,1500,1800,1600
Gujarat,Mehsana,Kadi,Bajra(Pearl Millet/Cumbu),23-08-2025,2150,2650,2550
Gujarat,Mehsana,Mehsana,Mustard,23-08-2025,5350,6435,6400
Gujarat,Mehsana,Mehsana(Jornang),Bajra(Pearl Millet/Cumbu),23-08-2025,1205,2355,2250
Gujarat,Mehsana,Mehsana(Jornang),Castor Seed,23-08-2025,6450,6500,6475
Gujarat,Mehsana,Mehsana(Mehsana Veg),Onion,23-08-2025,1000,1800,1500
Gujarat,Mehsana,Mehsana(Mehsana Veg),Potato,23-08-2025,200,1300,1100
Gujarat,Mehsana,Unjha,"Sesamum(Sesame,Gingelly,Til)",23-08-2025,6760,10500,9550
Gujarat,Mehsana,Visnagar,Bajra(Pearl Millet/Cumbu),23-08-2025,1750,2560,2155
Gujarat,Morbi,Morbi,Cummin Seed(Jeera),23-08-2025,16500,17950,17225
Gujarat,Morbi,Morbi,Tomato,23-08-2025,3000,4000,3500
Gujarat,Navsari,Bilimora,Green Chilli,23-08-2025,4000,6000,5000
Gujarat,Navsari,Bilimora,Potato,23-08-2025,1500,2000,1800
Gujarat,Navsari,Navsari,Cauliflower,23-08-2025,3000,3500,3250
Gujarat,Navsari,Navsari,Pointed gourd (Parval),23-08-2025,2500,3000,2750
Gujarat,Patan,Radhanpur,Cummin Seed(Jeera),23-08-2025,14700,19525,18500
Gujarat,Porbandar,Porbandar,Cummin Seed(Jeera),23-08-2025,15000,15000,15000
Gujarat,Porbandar,Porbandar,Mousambi(Sweet Lime),23-08-2025,3000,4000,3500
Gujarat,Sabarkantha,Modasa(Tintoi),Maize,23-08-2025,2200,2450,2450
Gujarat,Surat,Mandvi,"Sesamum(Sesame,Gingelly,Til)",23-08-2025,9500,9500,9500
Gujarat,Surat,Songadh,Bhindi(Ladies Finger),23-08-2025,1860,3200,2750
Gujarat,Surat,Songadh(Badarpada),Bhindi(Ladies Finger),23-08-2025,1860,3200,2750
Gujarat,Surat,Songadh(Badarpada),Guar,23-08-2025,3500,4250,3990
Gujarat,Surendranagar,Dhragradhra,Corriander seed,23-08-2025,5880,6320,6000
Gujarat,Surendranagar,Dhragradhra,"Sesamum(Sesame,Gingelly,Til)",23-08-2025,6600,9160,8500
Gujarat,Surendranagar,Dhragradhra,Wheat,23-08-2025,2350,2350,2350
Gujarat,Surendranagar,Vadhvan,Carrot,23-08-2025,2000,2500,2250
Gujarat,Surendranagar,Vadhvan,Drumstick,23-08-2025,6000,6500,6250
Gujarat,Vadodara(Baroda),Padra,Colacasia,23-08-2025,2500,3750,3150
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),23-08-2025,2500,3250,2900
Gujarat,Vadodara(Baroda),Padra,Drumstick,23-08-2025,3500,4500,4000
Gujarat,Vadodara(Baroda),Padra,Potato,23-08-2025,1500,2100,1800
Gujarat,Vadodara(Baroda),Padra,Ridgeguard(Tori),23-08-2025,1000,1750,1400
Gujarat,Vadodara(Baroda),Padra,Spinach,23-08-2025,1750,2250,2000
Haryana,Ambala,Ambala Cantt.,Brinjal,23-08-2025,1500,2500,2200
Haryana,Ambala,Ambala Cantt.,Capsicum,23-08-2025,2000,3000,2500
Haryana,Ambala,Ambala Cantt.,Green Fodder,23-08-2025,180,300,250
Haryana,Ambala,Ambala Cantt.,Mousambi(Sweet Lime),23-08-2025,2500,3000,2800
Haryana,Ambala,Ambala Cantt.,Pear(Marasebu),23-08-2025,3000,4000,3500
Haryana,Ambala,Ambala Cantt.,Plum,23-08-2025,5000,5500,5200
Haryana,Ambala,Ambala Cantt.,Pumpkin,23-08-2025,800,1200,1000
Haryana,Ambala,Naraingarh,Onion,23-08-2025,1500,2000,1600
